"year","season","high","low","average_max","average_min"
1989,"Summer",25.8,6,20.0216216216216,11.0045045045045
1989,"Winter",10.6,-3.7,8.47117117117117,2.74054054054054
1990,"Autumn",20.3,0.7,13.3558558558559,7.15675675675676
1990,"Spring",20.5,1.2,13.3684684684685,5.11081081081081
1990,"Winter",11.8,-1.2,8.56846846846847,3.19369369369369
1992,"Autumn",18.9,0.3,12.3054054054054,5.97837837837838
1993,"Autumn",17.8,-2.4,11.5387387387387,5.33873873873874
1993,"Summer",21.8,6.6,17.9441441441441,10.3369369369369
1994,"Autumn",18,2.8,13.6351351351351,7.59279279279279
1994,"Spring",16,-0.1,11.6027027027027,4.74864864864865
1995,"Summer",27.1,6.3,20.9036036036036,11.7036036036036
1998,"Spring",20.8,0.5,12.5117117117117,5.56216216216216
1999,"Autumn",21.3,2.2,14.3387387387387,7.86936936936937
1999,"Summer",24.9,6.6,19.0774774774775,11.0936936936937
1999,"Winter",10.5,-2.2,7.76666666666667,2.22252252252252
2000,"Winter",10.9,-0.4,8.21454545454545,2.82818181818182
2001,"Autumn",19,1.4,14.1898148148148,8.14166666666667
2001,"Spring",18.8,-2.4,11.8388888888889,4.39259259259259
2002,"Autumn",20.3,2.5,13.8537037037037,7.45555555555556
2002,"Winter",11.3,-0.2,8.52407407407407,3.43333333333333
2003,"Spring",18.2,-0.1,13.537962962963,5.30925925925926
2004,"Winter",10.3,-1.9,8.1785046728972,2.63084112149533
2006,"Spring",18,-1.8,11.5647619047619,4.55238095238095
2006,"Winter",10.7,-1.6,7.61142857142857,2.56857142857143
2007,"Autumn",19.9,1.9,14.0142857142857,7.30761904761905
2007,"Spring",18.9,0.1,13.7066666666667,5.74
2008,"Autumn",18.8,0,13.0409523809524,6.80571428571429
2008,"Summer",22.8,6,18.68,11.4628571428571
2009,"Autumn",20.5,0.7,14.2466666666667,8.02666666666667
2009,"Spring",19.1,0.2,13.167619047619,5.30571428571429
2009,"Summer",23.9,6.4,19.2809523809524,11.4866666666667
2009,"Winter",8.7,-6.5,6.53809523809524,1.0647619047619
2010,"Autumn",19.4,-1.8,12.9114285714286,6.49142857142857
2010,"Spring",17.6,-2.7,12.3952380952381,4.18285714285714
2010,"Summer",25,7,19.2971428571429,11.307619047619
2010,"Winter",7.7,-8.1,4.49238095238095,-1.20190476190476
2011,"Autumn",21.3,3.1,15.228431372549,8.90098039215686
2011,"Spring",19.7,-0.4,13.9611650485437,5.68058252427184
2011,"Summer",21.8,5.4,18.3166666666667,10.393137254902
2011,"Winter",10.7,-2.3,7.93942307692308,2.60480769230769
2012,"Autumn",20,-0.1,12.8078431372549,6.21666666666667
2012,"Spring",18.2,-0.1,12.8294117647059,4.87941176470588
2012,"Summer",23.5,5.9,18.0960784313726,11.1019607843137
2012,"Winter",10.1,-2.1,7.90980392156863,2.31372549019608
2013,"Autumn",19.9,-1,13.8166666666667,7.50196078431373
2013,"Spring",16.4,-4.1,10.3049019607843,3.18725490196078
2013,"Summer",27,6.4,20.0176470588235,11.5294117647059
2013,"Winter",11.1,-2.5,7.38529411764706,2.11666666666667
2014,"Autumn",21.5,2.2,14.9539215686275,8.38725490196078
2014,"Spring",18,1.4,13.3558823529412,6.02156862745098
2014,"Summer",25.8,7.1,19.593137254902,11.4166666666667
2014,"Winter",10.6,-1.7,8.33039215686274,2.91862745098039
2015,"Autumn",18.7,1.5,14.2450980392157,7.45098039215686
2015,"Spring",17.6,0.1,12.3637254901961,4.48529411764706
2015,"Summer",23.7,6,18.6196078431373,10.6696078431373
2015,"Winter",13.7,-1.4,8.7421568627451,3.10490196078431
2016,"Autumn",22.5,-2.5,14,7.33529411764706
2016,"Spring",19,-0.7,12.2205882352941,4.55588235294118
2016,"Summer",24.7,7.4,19.3225490196078,11.8117647058824
2016,"Winter",11.3,-2.8,8.53529411764706,2.72941176470588
2017,"Autumn",19.2,0,13.7950980392157,7.57745098039216
2017,"Spring",19.8,-0.2,13.7882352941176,5.91372549019608
2017,"Summer",24,8.1,19.2254901960784,11.6862745098039
2017,"Winter",10.3,-1.6,8.00294117647059,2.52549019607843
2018,"Autumn",20.9,1.2,14.0078431372549,7.26862745098039
2018,"Spring",20.8,-2.2,12.5450980392157,5.01960784313725
2018,"Summer",28.3,7.8,20.9490196078431,11.9441176470588
2018,"Winter",11.5,-2.5,7.66666666666667,2.27647058823529
2019,"Autumn",21.2,-0.8,13.2480392156863,6.96372549019608
2019,"Spring",18.6,1,13.0686274509804,5.24117647058824
2019,"Summer",25.5,6.2,19.8303921568627,11.9607843137255
2019,"Winter",12.4,-3.6,8.82254901960784,2.67941176470588
2020,"Autumn",21.6,2.2,14.1470588235294,7.61470588235294
2020,"Spring",21.1,-0.4,13.9088235294118,4.99705882352941
2020,"Summer",25.6,7.6,19.2892156862745,11.6970588235294
2020,"Winter",11.1,-1.7,8.56862745098039,3.2843137254902
2021,"Autumn",22.3,1.8,14.8990196078431,8.4921568627451
2021,"Spring",16.5,-2.7,11.843137254902,3.79607843137255
2021,"Summer",24.2,7.1,19.856862745098,12
2021,"Winter",11.4,-4.1,7.43235294117647,2.17254901960784
2022,"Autumn",20.4,2.7,15.1480392156863,8.79803921568628
2022,"Spring",20.2,-1.7,13.6852941176471,5.62254901960784
2022,"Summer",27.2,7.4,20.9764705882353,11.9490196078431
2022,"Winter",11.3,-3.1,8.25588235294118,2.34901960784314
2023,"Spring",19.4,-1.9,12.7980392156863,5.40588235294118
2023,"Summer",25.3,6.8,21.2823529411765,11.6
2023,"Winter",10.8,-1.3,8.89852941176471,2.96764705882353
